node_1,node_2
0,1
1,2
2,1
4,3
5,4
6,4
13,12
14,24
14,16
14,19
15,24
15,14
15,21
15,10
15,17
15,24
16,24
16,19
16,24
17,24
17,24
18,24
18,14
18,24
10,24
19,24
19,21
19,18
19,14
19,16
19,15
19,17
19,23
19,24
20,24
21,24
21,18
21,24
22,24
22,19
22,18
23,24
23,19
23,18
23,18
23,24
10,24
25,24
25,10
16,24
16,26
16,24
10,24
26,24
26,10
26,16
26,24
27,24
28,24
28,18
28,32
28,18
29,24
29,18
29,17
29,14
29,18
29,37
29,32
29,44
29,21
29,46
29,36
29,33
29,27
29,34
14,24
14,44
30,24
30,38
30,44
30,34
31,24
31,33
32,28
32,36
32,38
32,18
32,18
32,24
32,37
32,34
32,41
33,14
33,34
33,17
33,44
33,42
33,24
33,24
34,24
34,24
17,33
18,14
18,24
18,44
18,34
18,37
35,24
35,18
35,40
35,18
10,24
10,44
36,24
37,24
37,32
37,18
20,34
38,24
38,29
38,33
38,32
38,18
38,36
38,37
38,39
38,44
38,28
38,34
38,42
38,24
38,28
38,34
39,24
39,18
26,24
26,14
26,32
26,33
26,17
26,18
26,10
26,37
26,18
26,42
26,44
26,21
26,46
26,34
22,24
22,36
22,18
22,18
40,24
40,34
40,18
41,24
41,47
41,34
41,42
42,24
42,32
42,33
42,37
42,39
42,40
42,43
42,41
42,18
42,47
42,45
42,26
42,34
43,24
43,32
43,35
43,37
43,42
43,18
43,18
43,40
43,47
43,45
43,34
43,42
44,24
45,24
45,34
45,37
45,18
46,44
46,21
47,24
47,24
48,24
48,18
48,18
48,44
49,24
49,34
50,24
50,33
50,28
50,32
50,37
50,29
50,42
50,34
50,18
50,14
50,10
50,21
50,46
50,36
51,10
51,9
51,44
14,44
14,24
53,44
53,10
53,9
53,11
53,14
54,24
55,24
18,14
18,44
9,24
56,14
56,53
56,18
56,9
56,10
56,11
56,18
56,63
56,44
56,46
10,24
10,44
57,24
57,64
4,3
5,4
6,4
59,60
7,24
7,54
7,61
7,56
7,53
7,44
7,55
7,64
7,52
8,10
8,44
20,14
20,44
61,53
61,18
61,24
61,55
1,62
63,10
63,16
63,44
63,18
63,14
22,24
22,18
64,52
64,55
64,24
44,24
46,44
48,24
48,18
48,18
48,44
48,61
48,14
48,51
51,10
51,9
51,44
14,44
14,24
15,17
15,10
15,14
15,44
65,53
53,44
53,10
53,9
53,11
53,14
67,24
67,66
54,24
68,24
68,37
69,66
55,24
18,14
18,44
9,24
10,24
10,44
57,24
57,64
71,24
71,34
71,18
71,24
71,34
72,24
72,18
72,71
72,24
73,37
73,18
73,34
73,18
73,68
73,24
4,3
5,4
6,4
74,24
74,52
74,55
74,64
74,24
74,52
19,24
7,24
7,61
7,54
7,52
7,52
7,64
7,75
7,76
7,65
7,55
7,78
7,70
7,82
37,24
37,18
8,10
8,44
20,14
20,44
75,14
75,18
75,44
75,16
76,24
76,55
76,78
76,53
76,18
76,16
76,18
76,10
76,71
76,83
76,15
76,17
76,44
76,73
76,37
76,79
76,38
76,81
76,84
76,19
76,52
76,34
76,82
76,24
77,15
77,53
77,34
77,17
77,76
77,18
77,81
77,44
78,70
78,18
78,24
78,69
78,80
78,67
79,18
79,73
38,24
38,37
38,83
38,72
38,18
38,55
61,53
61,18
61,24
80,66
1,62
22,24
22,18
81,15
81,44
81,84
82,65
82,53
82,44
82,55
64,24
83,34
83,24
83,38
83,55
83,71
83,24
83,34
44,24
84,53
84,44
84,14
48,24
48,18
48,18
48,14
48,44
48,51
48,61
51,10
51,9
51,44
14,24
14,44
18,14
18,44
9,24
10,24
10,44
7,24
7,14
7,44
7,53
7,18
7,18
7,84
20,14
20,44
61,53
61,18
61,24
22,24
22,18
44,24
48,24
48,18
48,18
48,44
48,61
48,14
48,51
51,10
51,9
51,44
14,44
14,24
53,44
53,10
53,9
53,11
53,14
54,24
55,24
18,14
18,44
9,24
56,14
56,53
56,18
56,9
56,10
56,11
56,18
56,63
56,44
56,46
10,24
10,44
57,24
57,64
73,18
73,18
73,24
4,3
5,4
6,4
59,60
7,24
7,54
7,61
7,56
7,53
7,18
7,16
7,73
7,44
7,55
7,64
7,85
7,52
8,10
8,44
20,14
20,44
61,53
61,18
61,24
1,62
63,10
63,16
63,44
63,18
63,14
22,24
22,18
85,24
64,52
64,55
64,24
44,24
46,44
48,24
48,18
48,18
48,44
48,61
48,14
48,51
87,86
89,88
90,91
91,92
24,58
93,95
94,58
96,58
97,98
99,60
