node_1,node_2
0,7
1,7
2,7
3,7
4,7
5,7
6,7
7,6
7,6
11,10
11,9
12,9
13,10
13,9
14,10
14,9
15,10
15,9
16,10
16,9
17,10
17,9
18,10
18,9
18,12
19,10
19,9
19,12
20,15
20,10
20,9
20,12
21,10
21,9
21,12
23,10
23,10
24,10
25,10
25,8
25,23
26,10
26,23
26,22
27,10
27,8
27,23
28,10
28,8
28,23
29,10
30,10
30,8
30,23
31,10
31,23
32,10
32,23
32,8
33,10
33,8
33,23
34,10
34,8
34,23
35,10
36,10
37,10
38,10
39,10
40,10
40,9
41,10
41,8
41,23
42,10
42,9
42,8
42,60
42,23
43,9
43,10
43,8
43,23
44,10
44,9
44,8
44,23
44,60
45,10
45,8
45,23
46,10
46,8
46,23
47,8
48,10
48,8
48,23
49,10
49,9
50,10
50,9
51,10
51,23
52,10
52,8
52,23
53,10
53,22
54,10
54,22
55,10
55,22
56,10
56,22
56,23
57,10
58,10
58,23
59,10
60,10
60,8
