node_1,node_2
4,107
9,16
9,157
21,20
22,20
23,20
24,20
25,20
29,34
37,48
38,46
39,42
40,45
40,49
41,51
41,46
43,33
44,33
45,50
46,42
48,52
49,56
49,50
51,42
51,46
52,54
53,58
57,47
57,55
57,42
59,69
60,69
60,61
60,59
60,3
61,3
62,33
62,64
62,67
63,65
63,61
64,69
64,61
64,66
64,59
64,60
65,61
66,69
66,59
66,63
66,61
66,3
67,66
68,66
71,70
71,128
72,70
72,128
73,36
74,78
74,78
74,78
74,78
74,78
74,78
75,79
75,79
75,79
79,76
79,76
79,76
79,77
79,77
79,77
80,84
80,84
80,84
81,85
81,85
81,85
81,85
82,86
82,86
82,86
82,86
82,86
82,86
83,87
83,87
83,87
83,87
89,90
89,90
89,90
91,92
91,92
91,92
91,92
92,93
92,93
92,93
92,93
92,93
92,93
92,93
92,93
94,88
95,88
96,98
96,98
96,98
96,99
97,100
36,105
101,33
101,124
102,33
102,125
104,103
104,103
106,10
107,33
107,108
108,33
109,34
109,107
109,172
110,112
111,128
113,0
113,34
113,156
114,103
114,104
114,171
114,33
115,11
116,1
117,34
118,13
119,34
35,20
120,33
121,5
121,3
122,12
122,5
122,101
123,12
123,5
123,102
124,12
124,14
124,5
124,126
124,122
125,12
125,14
125,5
125,126
125,123
126,12
126,124
127,18
129,131
130,131
132,131
133,131
133,128
134,131
135,131
135,128
136,131
137,131
138,131
138,128
139,131
140,131
141,131
142,131
143,33
6,33
144,128
7,128
145,17
147,152
147,151
147,5
148,147
148,33
148,147
149,146
149,147
149,33
149,147
149,152
150,149
150,148
150,147
150,152
150,33
151,33
153,0
153,18
154,33
155,33
8,33
156,0
157,34
15,33
17,33
19,33
26,33
27,33
158,33
159,0
160,34
161,33
161,18
162,33
163,34
164,33
165,33
168,33
168,169
169,33
169,165
169,167
169,166
169,170
170,33
171,104
171,103
172,33
172,173
172,180
172,179
173,181
173,5
174,173
175,173
176,173
177,173
178,173
180,181
180,173
180,175
180,176
180,177
180,178
180,179
181,33
182,34
183,33
184,33
185,33
186,34
187,17
188,20
188,33
28,33
189,33
189,16
189,34
189,157
190,33
191,2
191,18
192,33
30,34
193,2
31,13
31,107
32,33
194,34
195,197
195,196
195,14
196,197
196,198
