node_1,node_2
0,66
0,62
0,72
0,61
1,2
1,3
1,4
5,66
5,72
6,66
6,72
7,66
8,66
9,66
9,62
10,66
10,62
11,66
12,66
12,62
0,66
0,62
13,66
13,62
14,66
14,62
15,66
16,66
16,62
17,66
17,62
17,49
18,66
19,66
20,66
20,62
22,66
23,21
24,66
25,66
25,62
26,66
26,62
27,66
28,66
29,66
29,33
30,66
30,62
31,66
31,62
32,66
32,62
34,66
34,62
35,66
36,66
36,62
37,66
37,62
38,66
38,62
39,66
39,62
40,66
40,62
41,66
42,66
43,66
43,62
44,66
44,62
45,66
46,66
47,66
47,62
48,66
50,66
50,62
51,66
51,62
52,66
52,62
53,66
53,62
54,66
55,54
55,66
55,66
56,66
63,66
66,67
66,67
67,66
57,66
59,66
63,66
64,66
69,62
69,66
70,66
70,66
58,68
65,68
60,68
61,71
61,66
71,66
72,66
73,66
73,61
74,66
74,61
75,66
75,61
76,66
76,61
77,66
77,61
73,66
75,66
76,66
78,66
78,66
78,61
79,66
79,61
80,66
80,72
81,66
81,72
82,72
83,66
83,72
84,66
85,66
86,66
87,66
87,72
88,62
