alone_decoder.c,240,49,32,1,159,94,33,373,435,127,808,3914,0.02,50,195700,1.3,10872.22,40,20,11,19,1,19,0.12,1.05,11,0.58,0.08,0
alone_encoder.c,160,26,30,1,104,77,28,220,256,105,476,2215,0.03,33.33,73833.33,0.74,4101.85,20,10,12,9,1,9,0.09,1.11,12,1.33,0.06,0
alsa-input.c,638,118,26,1,494,249,35,999,1295,284,2294,12958,0.01,100,1295800,4.32,71988.89,132,66,147,62,3,62,0.13,1.06,147,2.37,0.1,0
amf.c,1320,155,54,1,1111,234,42,2105,2746,276,4851,27264,0.01,100,2726400,9.09,151466.67,338,169,126,152,25,141,0.13,1.11,126,0.89,0.11,0
app-helpers.c,79,14,0,0,65,54,14,164,164,68,328,1383,0.05,20,27660,0.46,1536.67,8,4,20,4,0,5,0.08,1,20,4,0.06,0
arm.c,72,12,12,1,48,37,21,123,130,58,253,1027,0.03,33.33,34233.33,0.34,1901.85,8,4,2,3,1,4,0.08,1.33,2,0.5,0.06,0
armthumb.c,77,13,12,1,52,40,22,146,162,62,308,1271,0.02,50,63550,0.42,3530.56,8,4,2,3,1,4,0.08,1.33,2,0.5,0.05,0
array-serializer.c,48,0,15,1,33,21,11,55,74,32,129,447,0.07,14.29,6385.71,0.15,354.76,0,0,4,0,0,1,0.03,0,4,4,0.02,0
async-delay-filter.c,246,48,9,0,189,104,27,403,532,131,935,4558,0.02,50,227900,1.52,12661.11,24,12,37,8,0,13,0.07,1.5,37,2.85,0.05,0
attr.c,55,0,39,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0.02,0
audio-device-enum.c,167,33,3,0,131,81,25,303,359,106,662,3087,0.02,50,154350,1.03,8575,28,14,30,13,0,15,0.11,1.08,30,2,0.09,0
audio-io.c,503,94,29,1,380,184,39,979,1149,223,2128,11506,0.01,100,1150600,3.84,63922.22,114,57,63,30,2,56,0.15,1.9,63,1.13,0.11,0
audio-repack.c,104,6,12,0,86,50,25,188,236,75,424,1830,0.02,50,91500,0.61,5083.33,20,10,12,8,0,11,0.13,1.25,12,1.09,0.11,0
audio-resampler-ffmpeg.c,187,16,19,1,152,109,27,354,423,136,777,3817,0.02,50,190850,1.27,10602.78,60,30,25,28,2,27,0.18,1.07,25,0.93,0.14,0
autostatic.c,71,0,35,1,36,14,5,33,36,19,69,203,0.17,5.88,1194.12,0.07,66.34,0,0,3,0,0,1,0.03,0,3,3,0.01,0
auto_decoder.c,189,39,30,1,120,77,26,276,313,103,589,2729,0.02,50,136450,0.91,7580.56,40,20,13,18,3,17,0.14,1.11,13,0.76,0.09,0
axisang.c,40,0,16,1,24,20,12,73,69,32,142,492,0.05,20,9840,0.16,546.67,4,2,3,2,1,2,0.08,1,3,1.5,0.05,0
barrier.c,49,0,35,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0.02,0
barrier1.c,60,0,38,1,22,9,9,26,29,18,55,158,0.08,12.5,1975,0.05,109.72,0,0,7,0,0,1,0.05,0,7,7,0.02,0
barrier2.c,57,0,39,1,18,11,8,21,25,19,46,135,0.13,7.69,1038.46,0.05,57.69,0,0,6,0,0,1,0.06,0,6,6,0.02,0
barrier3.c,73,0,39,1,34,25,9,57,75,34,132,465,0.1,10,4650,0.16,258.33,0,0,16,0,0,1,0.03,0,16,16,0.01,0
barrier4.c,112,0,39,1,73,36,16,102,131,52,233,920,0.04,25,23000,0.31,1277.78,14,7,19,4,2,6,0.08,1.75,19,3.17,0.05,0
barrier5.c,120,0,39,1,81,45,22,127,158,67,285,1198,0.03,33.33,39933.33,0.4,2218.52,16,8,16,3,1,8,0.1,2.67,16,2,0.07,0
barrier6.c,119,0,39,1,80,36,18,125,159,54,284,1132,0.03,33.33,37733.33,0.38,2096.3,16,8,22,4,1,8,0.1,2,22,2.75,0.07,0
base.c,137,10,15,1,112,48,15,155,205,63,360,1491,0.04,25,37275,0.5,2070.83,18,9,22,9,1,8,0.07,1,22,2.75,0.06,0
benchlib.c,365,16,46,1,303,66,17,314,449,83,763,3371,0.02,50,168550,1.12,9363.89,100,50,27,46,12,39,0.13,1.09,27,0.69,0.11,0
benchtest1.c,268,16,54,1,198,90,12,319,344,102,663,3066,0.05,20,61320,1.02,3406.67,0,0,81,0,0,1,0.01,0,81,81,0,0
benchtest2.c,329,0,57,2,272,90,13,460,575,103,1035,4796,0.03,33.33,159866.67,1.6,8881.48,8,4,150,0,0,5,0.02,0,150,30,0.02,0
benchtest3.c,219,0,53,1,166,76,12,246,270,88,516,2310,0.05,20,46200,0.77,2566.67,0,0,70,0,0,1,0.01,0,70,70,0,0
benchtest4.c,200,0,53,1,147,68,12,183,199,80,382,1673,0.06,16.67,27883.33,0.56,1549.07,0,0,48,0,0,1,0.01,0,48,48,0.01,0
benchtest5.c,161,0,53,1,108,47,13,150,155,60,305,1248,0.05,20,24960,0.42,1386.67,0,0,37,0,0,1,0.01,0,37,37,0.01,0
blake2b-ref.c,381,54,26,1,301,107,30,930,1066,137,1996,9820,0.01,100,982000,3.27,54555.56,74,37,64,24,1,37,0.12,1.54,64,1.73,0.1,0
block_buffer_decoder.c,83,11,31,1,41,33,15,91,113,48,204,789,0.05,20,15780,0.26,876.67,14,7,0,7,2,6,0.15,1,0,0,0.07,0
block_buffer_encoder.c,308,58,87,1,163,92,30,445,536,122,981,4712,0.01,100,471200,1.57,26177.78,64,32,16,28,1,32,0.2,1.14,16,0.5,0.1,0
block_decoder.c,244,53,49,1,142,95,32,371,413,127,784,3797,0.02,50,189850,1.27,10547.22,36,18,16,16,1,17,0.12,1.13,16,0.94,0.07,0
block_encoder.c,219,52,37,1,130,94,29,340,389,123,729,3508,0.02,50,175400,1.17,9744.44,34,17,14,16,1,16,0.12,1.06,14,0.88,0.07,0
block_header_decoder.c,119,20,35,1,64,49,23,163,204,72,367,1569,0.03,33.33,52300,0.52,2905.56,46,23,8,17,4,20,0.31,1.35,8,0.4,0.17,0
block_header_encoder.c,134,32,32,1,70,47,25,189,220,72,409,1749,0.02,50,87450,0.58,4858.33,30,15,14,12,0,16,0.23,1.25,14,0.88,0.12,0
block_util.c,93,18,25,1,50,31,21,100,112,52,212,837,0.03,33.33,27900,0.28,1550,14,7,0,7,0,8,0.16,1,0,0,0.09,0
bmem.c,156,5,20,1,131,36,18,155,244,54,399,1591,0.03,33.33,53033.33,0.53,2946.3,22,11,25,11,0,12,0.09,1,25,2.08,0.08,0
bounds.c,323,34,28,1,261,102,30,807,1012,132,1819,8881,0.01,100,888100,2.96,49338.89,106,53,50,44,13,41,0.16,1.2,50,1.22,0.13,0
calldata.c,252,20,35,1,197,56,24,418,548,80,966,4233,0.01,100,423300,1.41,23516.67,48,24,36,22,2,23,0.12,1.09,36,1.57,0.09,0
cancel.c,46,0,35,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0.02,0
cancel1.c,181,0,98,1,83,35,21,150,189,56,339,1364,0.02,50,68200,0.45,3788.89,8,4,30,1,0,5,0.06,4,30,6,0.03,0
cancel2.c,260,0,103,1,157,58,28,210,282,86,492,2191,0.02,50,109550,0.73,6086.11,20,10,36,4,1,9,0.06,2.5,36,4,0.03,0
cancel3.c,203,0,102,1,101,39,24,165,218,63,383,1586,0.02,50,79300,0.53,4405.56,14,7,21,2,0,8,0.08,3.5,21,2.63,0.04,0
cancel4.c,205,0,106,1,99,41,24,164,217,65,381,1590,0.02,50,79500,0.53,4416.67,14,7,21,2,0,8,0.08,3.5,21,2.63,0.04,0
cancel5.c,201,0,102,1,99,38,24,160,213,62,373,1539,0.02,50,76950,0.51,4275,14,7,19,2,0,8,0.08,3.5,19,2.38,0.04,0
cancel6a.c,193,0,93,1,100,41,24,169,222,65,391,1632,0.02,50,81600,0.54,4533.33,14,7,23,2,0,8,0.08,3.5,23,2.88,0.04,0
cancel6d.c,195,0,89,1,106,43,24,172,229,67,401,1686,0.02,50,84300,0.56,4683.33,16,8,24,3,0,9,0.08,2.67,24,2.67,0.05,0
cancel7.c,220,0,99,1,121,46,24,195,244,70,439,1865,0.02,50,93250,0.62,5180.56,14,7,25,2,0,8,0.07,3.5,25,3.13,0.04,0
cancel8.c,221,0,99,1,122,56,23,208,253,79,461,2014,0.02,50,100700,0.67,5594.44,12,6,28,2,0,7,0.06,3,28,4,0.03,0
cancel9.c,204,0,80,1,124,76,16,196,240,92,436,1971,0.05,20,39420,0.66,2190,10,5,50,5,1,5,0.04,1,50,10,0.02,0
caption.c,461,74,58,1,329,150,31,972,1142,181,2114,10989,0.01,100,1098900,3.66,61050,144,72,78,58,7,65,0.2,1.24,78,1.2,0.14,0
cea708.c,285,39,32,1,214,93,31,730,833,124,1563,7534,0.01,100,753400,2.51,41855.56,68,34,21,26,5,30,0.14,1.31,21,0.7,0.11,0
cencode.c,113,4,14,1,95,38,23,153,235,61,388,1595,0.02,50,79750,0.53,4430.56,22,11,6,10,2,8,0.08,1.1,6,0.75,0.07,0
cf-lexer.c,1332,226,58,1,1048,310,38,2426,3423,348,5849,34229,0.01,100,3422900,11.41,190161.11,362,181,235,156,29,150,0.14,1.16,235,1.57,0.11,0
cf-parser.c,67,0,15,1,52,36,20,108,151,56,259,1042,0.03,33.33,34733.33,0.35,1929.63,16,8,7,7,2,7,0.13,1.14,7,1,0.1,0
check.c,177,34,25,1,118,46,17,147,196,63,343,1421,0.04,25,35525,0.47,1973.61,30,15,4,15,3,10,0.08,1,4,0.4,0.06,0
CheckForPthreads.c,41,5,2,0,34,19,14,53,81,33,134,468,0.05,20,9360,0.16,520,4,2,8,1,0,3,0.09,2,8,2.67,0.07,0
chroma-key-filter.c,289,51,0,0,238,191,24,635,682,215,1317,7073,0.03,33.33,235766.67,2.36,13098.15,22,11,92,9,2,10,0.04,1.22,92,9.2,0.03,0
cleanup.c,150,0,107,1,43,13,11,47,62,24,109,346,0.05,20,6920,0.12,384.44,4,2,4,2,0,3,0.07,1,4,1.33,0.02,0
cleanup0.c,231,0,92,1,139,52,23,187,251,75,438,1891,0.02,50,94550,0.63,5252.78,10,5,27,2,0,6,0.04,2.5,27,4.5,0.03,0
cleanup1.c,244,0,98,1,146,53,24,204,272,77,476,2067,0.02,50,103350,0.69,5741.67,14,7,28,2,0,8,0.05,3.5,28,3.5,0.03,0
cleanup2.c,219,0,88,1,131,46,23,171,235,69,406,1719,0.02,50,85950,0.57,4775,10,5,21,2,0,6,0.05,2.5,21,3.5,0.03,0
cleanup3.c,224,0,89,1,135,47,24,179,246,71,425,1811,0.02,50,90550,0.6,5030.56,10,5,23,2,0,6,0.04,2.5,23,3.83,0.03,0
color-correction-filter.c,415,0,116,1,299,157,19,715,744,176,1459,7543,0.02,50,377150,2.51,20952.78,10,5,63,4,0,6,0.02,1.25,63,10.5,0.01,0
color-grade-filter.c,166,37,0,0,129,105,18,277,357,123,634,3050,0.04,25,76250,1.02,4236.11,14,7,50,7,2,6,0.05,1,50,8.33,0.04,0
